,State_Name,County_Name,"Mining, quarrying, and oil and gas extraction"
462,Virginia,Russell,1796184.0
463,Texas,Newton,1794219.0
464,Texas,Hill,1788576.0
465,Tennessee,Claiborne,1781954.0
466,Oklahoma,Cleveland,1779184.0
467,Pennsylvania,Lehigh,1778379.0
468,Oklahoma,Texas,1773417.0
469,Kentucky,Livingston,1770946.0
470,Oklahoma,McClain,1764418.0
471,Kansas,Stevens,1763310.0
472,Illinois,Randolph,1758381.0
473,Oklahoma,Pontotoc,1753256.0
474,Colorado,Cheyenne,1744197.0
475,Texas,Calhoun,1740342.0
476,Mississippi,Wayne,1726431.0
477,Ohio,Perry,1724529.0
478,Illinois,Sangamon,1724467.0
479,Wyoming,Sheridan,1721866.0
480,West Virginia,Lincoln,1714708.0
481,Indiana,Daviess,1713687.0
482,Texas,Fisher,1704204.0
483,Texas,Throckmorton,1700427.0
484,Connecticut,New Haven,1685333.0
485,Pennsylvania,Schuylkill,1653076.0
486,Texas,Milam,1645492.0
487,Wisconsin,Waukesha,1641329.0
488,Tennessee,Jefferson,1639059.0
489,Texas,Jones,1635720.0
490,Montana,Yellowstone,1634363.0
491,Illinois,Will,1621286.0
492,Ohio,Columbiana,1617696.0
493,Colorado,Dolores,1611934.0
494,Pennsylvania,Sullivan,1592792.0
495,North Dakota,Divide,1586942.0
496,Florida,Bradford,1576788.0
497,Indiana,Warrick,1569826.0
498,West Virginia,Tucker,1565738.0
499,California,Imperial,1564014.0
500,Maryland,Garrett,1563608.0
501,Hawaii,Honolulu,1536762.0
502,Illinois,Gallatin,1533279.0
503,New Mexico,Harding,1520465.0
504,Florida,Gadsden,1517242.0
505,Louisiana,Iberville,1512439.0
506,Texas,Crosby,1509467.0
507,Texas,Dickens,1499795.0
508,Missouri,Ste. Genevieve,1494131.0
509,Texas,Coke,1470407.0
510,Georgia,Thomas,1469454.0
511,New Mexico,Taos,1462022.0
512,Mississippi,Adams,1461142.0
513,Ohio,Washington,1458650.0
